geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name
49518,zh-CN,AF,"非洲",RW,"盧旺達"
51537,zh-CN,AF,"非洲",SO,"索馬裡"
69543,zh-CN,AS,"亞洲",YE,"也門"
99237,zh-CN,AS,"亞洲",IQ,"伊拉克"
102358,zh-CN,AS,"亞洲",SA,"沙特阿拉伯"
130758,zh-CN,AS,"亞洲",IR,"伊朗伊斯蘭共和國"
146669,zh-CN,EU,歐洲,CY,"塞浦路斯"
149590,zh-CN,AF,"非洲",TZ,"坦桑尼亞"
163843,zh-CN,AS,"亞洲",SY,"敘利亞"
174982,zh-CN,AS,"亞洲",AM,"亞美尼亞"
192950,zh-CN,AF,"非洲",KE,"肯尼亞"
203312,zh-CN,AF,"非洲",CD,"扎伊爾"
223816,zh-CN,AF,"非洲",DJ,"吉布提"
226074,zh-CN,AF,"非洲",UG,"烏干達"
239880,zh-CN,AF,"非洲",CF,"中非共和國"
241170,zh-CN,AF,"非洲",SC,"塞舌爾群島"
248816,zh-CN,AS,"亞洲",JO,"約旦"
272103,zh-CN,AS,"亞洲",LB,"黎巴嫩"
285570,zh-CN,AS,"亞洲",KW,"科威特"
286963,zh-CN,AS,"亞洲",OM,"阿曼"
289688,zh-CN,AS,"亞洲",QA,"卡塔爾"
290291,zh-CN,AS,"亞洲",BH,"巴林"
290557,zh-CN,AS,"亞洲",AE,"阿拉伯聯合酋長國"
294640,zh-CN,AS,"亞洲",IL,"以色列"
298795,zh-CN,AS,"亞洲",TR,"土耳其"
337996,zh-CN,AF,"非洲",ET,"埃塞俄比亞"
338010,zh-CN,AF,"非洲",ER,"厄立特裡亞"
357994,zh-CN,AF,"非洲",EG,"埃及"
366755,zh-CN,AF,"非洲",SD,"蘇丹"
390903,zh-CN,EU,歐洲,GR,"希臘"
433561,zh-CN,AF,"非洲",BI,"布隆迪"
453733,zh-CN,EU,歐洲,EE,"愛沙尼亞"
458258,zh-CN,EU,歐洲,LV,"拉脫維亞"
587116,zh-CN,AS,"亞洲",AZ,"阿塞拜疆"
597427,zh-CN,EU,歐洲,LT,"立陶宛"
607072,zh-CN,EU,歐洲,SJ,"斯瓦爾巴特和揚馬延"
614540,zh-CN,AS,"亞洲",GE,"格魯吉亞"
617790,zh-CN,EU,歐洲,MD,"摩爾多瓦共和國"
630336,zh-CN,EU,歐洲,BY,"白俄羅斯"
660013,zh-CN,EU,歐洲,FI,"芬蘭"
661882,zh-CN,EU,歐洲,AX,"奧蘭群島"
690791,zh-CN,EU,歐洲,UA,"烏克蘭"
718075,zh-CN,EU,歐洲,MK,"前南斯拉夫馬其頓共和國"
719819,zh-CN,EU,歐洲,HU,"匈牙利"
732800,zh-CN,EU,歐洲,BG,"保加利亞"
783754,zh-CN,EU,歐洲,AL,"阿爾巴尼亞"
798544,zh-CN,EU,歐洲,PL,"波蘭"
798549,zh-CN,EU,歐洲,RO,"羅馬尼亞"
831053,zh-CN,EU,歐洲,XK,"科索沃"
878675,zh-CN,AF,"非洲",ZW,"津巴布韋"
895949,zh-CN,AF,"非洲",ZM,"贊比亞"
921929,zh-CN,AF,"非洲",KM,"科摩羅"
927384,zh-CN,AF,"非洲",MW,"馬拉維"
932692,zh-CN,AF,"非洲",LS,"萊索托"
933860,zh-CN,AF,"非洲",BW,"博茨瓦納"
934292,zh-CN,AF,"非洲",MU,"毛里求斯"
934841,zh-CN,AF,"非洲",SZ,"斯威士蘭"
935317,zh-CN,AF,"非洲",RE,"留尼汪"
953987,zh-CN,AF,"非洲",ZA,"南非"
1024031,zh-CN,AF,"非洲",YT,"馬約特"
1036973,zh-CN,AF,"非洲",MZ,"莫桑比克"
1062947,zh-CN,AF,"非洲",MG,"馬達加斯加"
1149361,zh-CN,AS,"亞洲",AF,"阿富汗"
1168579,zh-CN,AS,"亞洲",PK,"巴基斯坦"
1210997,zh-CN,AS,"亞洲",BD,"孟加拉"
1218197,zh-CN,AS,"亞洲",TM,"土庫曼斯坦"
1220409,zh-CN,AS,"亞洲",TJ,"塔吉克斯坦"
1227603,zh-CN,AS,"亞洲",LK,"斯里蘭卡"
1252634,zh-CN,AS,"亞洲",BT,"不丹"
1269750,zh-CN,AS,"亞洲",IN,"印度"
1282028,zh-CN,AS,"亞洲",MV,"馬爾代夫"
1282588,zh-CN,AS,"亞洲",IO,"英屬印度洋領地"
1282988,zh-CN,AS,"亞洲",NP,"尼泊爾"
1327865,zh-CN,AS,"亞洲",MM,"緬甸"
1512440,zh-CN,AS,"亞洲",UZ,"烏茲別克斯坦"
1522867,zh-CN,AS,"亞洲",KZ,"哈薩克斯坦"
